packet_kind,packet_rank,packet_id,cohort,legislature,tipo_expediente,initiative_id,doc_kind,doc_url,last_http_status,attempts,last_attempt_at,method_hint,is_zero_doc_initiative,cohort_missing_urls,cohort_blocked_403_rate
cohort,2,cohort_02_leg12:tipo610,leg12:tipo610,12,610,senado:leg12:exp:610/000055,ds,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=12&tipoEx=610&numEx=000055,403,1,2026-03-01T00:08:54+00:00,http,0,15,0.933333
cohort,2,cohort_02_leg12:tipo610,leg12:tipo610,12,610,senado:leg12:exp:610/000056,ds,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=12&tipoEx=610&numEx=000056,403,1,2026-03-01T00:08:54+00:00,http,0,15,0.933333
cohort,2,cohort_02_leg12:tipo610,leg12:tipo610,12,610,senado:leg12:exp:610/000057,ds,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=12&tipoEx=610&numEx=000057,403,1,2026-03-01T00:08:54+00:00,http,0,15,0.933333
cohort,2,cohort_02_leg12:tipo610,leg12:tipo610,12,610,senado:leg12:exp:610/000058,ds,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=12&tipoEx=610&numEx=000058,403,1,2026-03-01T00:08:54+00:00,http,0,15,0.933333
cohort,2,cohort_02_leg12:tipo610,leg12:tipo610,12,610,senado:leg12:exp:610/000059,ds,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=12&tipoEx=610&numEx=000059,403,1,2026-03-01T00:08:54+00:00,http,0,15,0.933333
cohort,2,cohort_02_leg12:tipo610,leg12:tipo610,12,610,senado:leg12:exp:610/000060,ds,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=12&tipoEx=610&numEx=000060,403,1,2026-03-01T00:08:54+00:00,http,0,15,0.933333
cohort,2,cohort_02_leg12:tipo610,leg12:tipo610,12,610,senado:leg12:exp:610/000061,ds,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=12&tipoEx=610&numEx=000061,403,1,2026-03-01T00:08:54+00:00,http,0,15,0.933333
cohort,2,cohort_02_leg12:tipo610,leg12:tipo610,12,610,senado:leg12:exp:610/000062,ds,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=12&tipoEx=610&numEx=000062,403,1,2026-03-01T00:08:54+00:00,http,0,15,0.933333
cohort,2,cohort_02_leg12:tipo610,leg12:tipo610,12,610,senado:leg12:exp:610/000080,bocg,https://www.senado.es/web/ficopendataservlet?legis=12&tipoFich=3&tipoEx=610&numEx=000080,404,4,2026-03-01T06:02:53+00:00,other,0,15,0.933333
cohort,3,cohort_03_leg14:tipo621,leg14:tipo621,14,621,senado:leg14:exp:621/000044,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/enmiendas/index.html?id1=621&id2=000044&legis=14,404,4,2026-03-01T06:40:08+00:00,other,0,22,0.0
cohort,3,cohort_03_leg14:tipo621,leg14:tipo621,14,621,senado:leg14:exp:621/000048,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/enmiendas/index.html?id1=621&id2=000048&legis=14,404,7,2026-03-01T02:02:55+00:00,other,0,22,0.0
cohort,3,cohort_03_leg14:tipo621,leg14:tipo621,14,621,senado:leg14:exp:621/000049,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/enmiendas/index.html?id1=621&id2=000049&legis=14,404,7,2026-03-01T02:02:55+00:00,other,0,22,0.0
cohort,3,cohort_03_leg14:tipo621,leg14:tipo621,14,621,senado:leg14:exp:621/000050,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/enmiendas/index.html?id1=621&id2=000050&legis=14,404,7,2026-03-01T02:02:55+00:00,other,0,22,0.0
cohort,3,cohort_03_leg14:tipo621,leg14:tipo621,14,621,senado:leg14:exp:621/000052,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/enmiendas/index.html?id1=621&id2=000052&legis=14,404,7,2026-03-01T02:02:55+00:00,other,0,22,0.0
cohort,3,cohort_03_leg14:tipo621,leg14:tipo621,14,621,senado:leg14:exp:621/000053,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/enmiendas/index.html?id1=621&id2=000053&legis=14,404,7,2026-03-01T02:02:55+00:00,other,0,22,0.0
cohort,3,cohort_03_leg14:tipo621,leg14:tipo621,14,621,senado:leg14:exp:621/000054,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/enmiendas/index.html?id1=621&id2=000054&legis=14,404,7,2026-03-01T02:02:55+00:00,other,0,22,0.0
cohort,3,cohort_03_leg14:tipo621,leg14:tipo621,14,621,senado:leg14:exp:621/000066,bocg,https://www.senado.es/web/ficopendataservlet?legis=14&tipoFich=3&tipoEx=621&numEx=000066,404,6,2026-03-01T03:39:21+00:00,other,0,22,0.0
