fresh_rank,initiative_source_id,initiative_id,doc_kind,doc_url,source_record_pk,attempts,fetched_ok,last_http_status,last_attempt_at
62,senado_iniciativas,senado:leg10:exp:610/000137,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=10&id1=610&id2=000137,,7,,404,2026-03-01T01:08:24+00:00
63,senado_iniciativas,senado:leg10:exp:610/000138,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=10&id1=610&id2=000138,,7,,404,2026-03-01T01:08:24+00:00
64,senado_iniciativas,senado:leg10:exp:610/000139,ds,https://www.senado.es/web/actividadparlamentaria/iniciativas/detalleiniciativa/index.html?legis=10&id1=610&id2=000139,,7,,404,2026-03-01T01:08:24+00:00
65,senado_iniciativas,senado:leg10:exp:610/000151,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000151.xml,,7,,404,2026-02-20T11:56:25+00:00
66,senado_iniciativas,senado:leg10:exp:610/000152,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000152.xml,,7,,404,2026-02-20T11:56:25+00:00
67,senado_iniciativas,senado:leg10:exp:610/000153,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000153.xml,,7,,404,2026-02-20T11:56:25+00:00
68,senado_iniciativas,senado:leg10:exp:610/000154,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000154.xml,,7,,404,2026-02-20T11:56:25+00:00
69,senado_iniciativas,senado:leg10:exp:610/000155,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000155.xml,,7,,404,2026-02-20T11:56:25+00:00
70,senado_iniciativas,senado:leg10:exp:610/000156,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000156.xml,,7,,404,2026-02-20T11:56:25+00:00
71,senado_iniciativas,senado:leg10:exp:610/000157,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000157.xml,,7,,404,2026-02-20T11:56:25+00:00
72,senado_iniciativas,senado:leg10:exp:610/000158,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000158.xml,,7,,404,2026-02-20T11:56:25+00:00
73,senado_iniciativas,senado:leg10:exp:610/000159,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000159.xml,,7,,404,2026-02-20T11:56:25+00:00
74,senado_iniciativas,senado:leg10:exp:610/000160,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000160.xml,,7,,404,2026-02-20T11:56:25+00:00
75,senado_iniciativas,senado:leg10:exp:610/000161,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000161.xml,,7,,404,2026-02-20T11:56:25+00:00
76,senado_iniciativas,senado:leg10:exp:610/000162,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000162.xml,,7,,404,2026-02-20T11:56:25+00:00
77,senado_iniciativas,senado:leg10:exp:610/000163,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000163.xml,,7,,404,2026-02-20T11:56:25+00:00
78,senado_iniciativas,senado:leg10:exp:610/000164,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000164.xml,,7,,404,2026-02-20T11:56:25+00:00
79,senado_iniciativas,senado:leg10:exp:610/000165,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000165.xml,,7,,404,2026-02-20T11:56:25+00:00
80,senado_iniciativas,senado:leg10:exp:610/000166,bocg,http://www.senado.es/legis10/expedientes/610/enmiendas/global_enmiendas_vetos_10_610000166.xml,,7,,404,2026-02-20T11:56:25+00:00
