code,status,detail
D_1NBIG472,error,"La serie D_1NBIG472 no existe"
D_1NBIH472,error,"La serie D_1NBIH472 no existe"
D_1NBII472,error,"La serie D_1NBII472 no existe"
D_1NBIJ472,error,"La serie D_1NBIJ472 no existe"
D_1NBIK472,error,"La serie D_1NBIK472 no existe"
D_1NBIL472,error,"La serie D_1NBIL472 no existe"
D_1NBIM472,error,"La serie D_1NBIM472 no existe"
D_1NBIN472,error,"La serie D_1NBIN472 no existe"
D_1NBIO472,error,"La serie D_1NBIO472 no existe"
D_1NBIP472,error,"La serie D_1NBIP472 no existe"
D_1NBIQ472,error,"La serie D_1NBIQ472 no existe"
D_1NBIR472,error,"La serie D_1NBIR472 no existe"
D_1NBIS472,error,"La serie D_1NBIS472 no existe"
D_1NBIT472,error,"La serie D_1NBIT472 no existe"
D_1NBIU472,error,"La serie D_1NBIU472 no existe"
D_1NBIV472,error,"La serie D_1NBIV472 no existe"
D_1NBIW472,error,"La serie D_1NBIW472 no existe"
D_1NBIX472,error,"La serie D_1NBIX472 no existe"
D_1NBIY472,error,"La serie D_1NBIY472 no existe"
D_1NBIZ472,error,"La serie D_1NBIZ472 no existe"
D_1NBJA472,error,"La serie D_1NBJA472 no existe"
D_1NBJB472,error,"La serie D_1NBJB472 no existe"
D_1NBJC472,error,"La serie D_1NBJC472 no existe"
D_1NBJD472,error,"La serie D_1NBJD472 no existe"
D_1NBJE472,error,"La serie D_1NBJE472 no existe"
D_1NBJF472,error,"La serie D_1NBJF472 no existe"
D_1NBJG472,error,"La serie D_1NBJG472 no existe"
D_1NBJH472,error,"La serie D_1NBJH472 no existe"
D_1NBJI472,error,"La serie D_1NBJI472 no existe"
D_1NBJJ472,error,"La serie D_1NBJJ472 no existe"
D_1NBJK472,error,"La serie D_1NBJK472 no existe"
D_1NBJL472,error,"La serie D_1NBJL472 no existe"
D_1NBJM472,error,"La serie D_1NBJM472 no existe"
D_1NBJN472,error,"La serie D_1NBJN472 no existe"
D_1NBJO472,error,"La serie D_1NBJO472 no existe"
D_1NBJP472,error,"La serie D_1NBJP472 no existe"
D_1NBJQ472,error,"La serie D_1NBJQ472 no existe"
D_1NBJR472,error,"La serie D_1NBJR472 no existe"
D_1NBJS472,error,"La serie D_1NBJS472 no existe"
D_1NBJT472,error,"La serie D_1NBJT472 no existe"
D_1NBJU472,error,"La serie D_1NBJU472 no existe"
D_1NBJV472,error,"La serie D_1NBJV472 no existe"
D_1NBJW472,error,"La serie D_1NBJW472 no existe"
D_1NBJX472,error,"La serie D_1NBJX472 no existe"
D_1NBJY472,error,"La serie D_1NBJY472 no existe"
D_1NBJZ472,error,"La serie D_1NBJZ472 no existe"
D_1NBKA472,error,"La serie D_1NBKA472 no existe"
D_1NBKB472,error,"La serie D_1NBKB472 no existe"
D_1NBKC472,error,"La serie D_1NBKC472 no existe"
D_1NBKD472,error,"La serie D_1NBKD472 no existe"
D_1NBKE472,error,"La serie D_1NBKE472 no existe"
D_1NBKF472,error,"La serie D_1NBKF472 no existe"
D_1NBKG472,error,"La serie D_1NBKG472 no existe"
D_1NBKH472,error,"La serie D_1NBKH472 no existe"
D_1NBKI472,error,"La serie D_1NBKI472 no existe"
D_1NBKJ472,error,"La serie D_1NBKJ472 no existe"
D_1NBKK472,error,"La serie D_1NBKK472 no existe"
D_1NBKL472,error,"La serie D_1NBKL472 no existe"
D_1NBKM472,error,"La serie D_1NBKM472 no existe"
D_1NBKN472,error,"La serie D_1NBKN472 no existe"
D_1NBKO472,error,"La serie D_1NBKO472 no existe"
D_1NBKP472,error,"La serie D_1NBKP472 no existe"
D_1NBKQ472,error,"La serie D_1NBKQ472 no existe"
D_1NBKR472,error,"La serie D_1NBKR472 no existe"
D_1NBKS472,error,"La serie D_1NBKS472 no existe"
D_1NBKT472,error,"La serie D_1NBKT472 no existe"
D_1NBKU472,error,"La serie D_1NBKU472 no existe"
D_1NBKV472,error,"La serie D_1NBKV472 no existe"
D_1NBKW472,error,"La serie D_1NBKW472 no existe"
D_1NBKX472,error,"La serie D_1NBKX472 no existe"
D_1NBKY472,error,"La serie D_1NBKY472 no existe"
D_1NBKZ472,error,"La serie D_1NBKZ472 no existe"
D_1NBLA472,error,"La serie D_1NBLA472 no existe"
D_1NBLB472,error,"La serie D_1NBLB472 no existe"
D_1NBLC472,error,"La serie D_1NBLC472 no existe"
D_1NBLD472,error,"La serie D_1NBLD472 no existe"
D_1NBLE472,error,"La serie D_1NBLE472 no existe"
D_1NBLF472,error,"La serie D_1NBLF472 no existe"
D_1NBLG472,error,"La serie D_1NBLG472 no existe"
D_1NBLH472,error,"La serie D_1NBLH472 no existe"
D_1NBLI472,error,"La serie D_1NBLI472 no existe"
D_1NBLJ472,error,"La serie D_1NBLJ472 no existe"
D_1NBLK472,error,"La serie D_1NBLK472 no existe"
D_1NBLL472,error,"La serie D_1NBLL472 no existe"
D_1NBLM472,error,"La serie D_1NBLM472 no existe"
D_1NBLN472,error,"La serie D_1NBLN472 no existe"
D_1NBLO472,error,"La serie D_1NBLO472 no existe"
D_1NBLP472,error,"La serie D_1NBLP472 no existe"
D_1NBLQ472,error,"La serie D_1NBLQ472 no existe"
D_1NBLR472,error,"La serie D_1NBLR472 no existe"
D_1NBLS472,error,"La serie D_1NBLS472 no existe"
D_1NBLT472,error,"La serie D_1NBLT472 no existe"
D_1NBLU472,error,"La serie D_1NBLU472 no existe"
D_1NBLV472,error,"La serie D_1NBLV472 no existe"
D_1NBLW472,error,"La serie D_1NBLW472 no existe"
D_1NBLX472,error,"La serie D_1NBLX472 no existe"
D_1NBLY472,error,"La serie D_1NBLY472 no existe"
D_1NBLZ472,error,"La serie D_1NBLZ472 no existe"
D_1NBMA472,error,"La serie D_1NBMA472 no existe"
D_1NBMB472,error,"La serie D_1NBMB472 no existe"
