batch_id,unit_type,unit_id,title,excerpt,source_url,allowed_concerns_json
factory-20260219-lane_d-001,parl_initiative_doc,141621,Iniciativa congreso:ley:6:2025,Documento pdf vinculado a iniciativa congreso:ley:6:2025 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_006_2025_conv.pdf,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_006_2025_conv.pdf,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141622,Iniciativa congreso:ley:7:2024,Documento pdf vinculado a iniciativa congreso:ley:7:2024 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_007_2024.pdf,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_007_2024.pdf,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141623,Iniciativa congreso:ley:7:2025,Documento pdf vinculado a iniciativa congreso:ley:7:2025 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_007_2025_der.pdf,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_007_2025_der.pdf,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141624,Iniciativa congreso:ley:8:2024,Documento pdf vinculado a iniciativa congreso:ley:8:2024 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_008_2024_corr.pdf,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_008_2024_corr.pdf,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141625,Iniciativa congreso:ley:8:2025,Documento pdf vinculado a iniciativa congreso:ley:8:2025 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_008_2025_conv.pdf,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_008_2025_conv.pdf,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141626,Iniciativa congreso:ley:9:2024,Documento pdf vinculado a iniciativa congreso:ley:9:2024 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_009_2024_derog.pdf,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_009_2024_derog.pdf,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141627,Iniciativa congreso:ley:9:2025,Documento pdf vinculado a iniciativa congreso:ley:9:2025 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_009_2025_conv.pdf,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_009_2025_conv.pdf,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141628,Iniciativa congreso:ley:10:2024,Documento pdf vinculado a iniciativa congreso:ley:10:2024 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_010_2024_derog.pdf,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_010_2024_derog.pdf,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141629,Iniciativa congreso:ley:10:2025,Documento pdf vinculado a iniciativa congreso:ley:10:2025 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_010_2025_conv.pdf,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_010_2025_conv.pdf,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
factory-20260219-lane_d-001,parl_initiative_doc,141630,Iniciativa congreso:ley:11:2024,Documento pdf vinculado a iniciativa congreso:ley:11:2024 en https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_011_2024.pdf,https://www.congreso.es/constitucion/ficheros/leyes_espa/rdl_011_2024.pdf,"[""vivienda"", ""empleo"", ""sanidad"", ""educacion"", ""coste_vida"", ""energia"", ""transporte"", ""seguridad_justicia"", ""inmigracion"", ""corrupcion"", ""campo_rural"", ""igualdad""]"
